run,threshold,content_concurrency,ok_pages,total_pages,mean_latency_s,total_latency_s,p50_latency_s,max_latency_s,markdown_chars,chars_per_second,total_speedup_vs_pro,mean_speedup_vs_pro,mean_markdown_similarity,min_markdown_similarity,mean_layout_f1,min_layout_f1
MinerU2.5-Pro vLLM two-step baseline,,,23,23,4.139947324004226,95.21878845209721,4.435708889039233,6.601501485914923,74349,780.8227893742167,1.0,1.0,1.0,1.0,1.0,1.0
MinerU-DLLM conc4 t=0.95,0.95,4,23,23,3.6630581805239553,84.25033815205097,3.4480084389215335,8.442317857057787,71657,850.5247761816324,1.130188798533377,1.2008815866774019,0.8820520045402308,0.17549443055239827,0.8582555483210887,0.5294117647058824
MinerU-DLLM conc4 t=0.90,0.9,4,23,23,3.123603436043081,71.84287902899086,2.9000716320006177,8.049093976034783,68192,949.1824509494168,1.3253754545899175,1.4489025879336104,0.8818843775153153,0.1708702567598273,0.8646616806737265,0.4444444444444445
MinerU-DLLM conc4 t=0.85,0.85,4,23,23,3.3149723628201806,76.24436434486415,3.1391858579590917,8.62370610202197,75848,994.8013948536401,1.2488632998684208,1.3603086567110825,0.882625062765198,0.09834763266603114,0.8518633792409602,0.4444444444444445
MinerU-DLLM conc4 t=0.80,0.8,4,23,23,3.188897031136667,73.34463171614334,2.942790967063047,8.577705965959467,68819,938.2963468456924,1.2982380063016843,1.4106225857996522,0.8787580542202569,0.11374407582938388,0.8785080846849129,0.47058823529411764
